YEAR,ABR
1934,944
1935,3473
1936,1554
1937,1165
1938,1223
1939,1191
1940,1372
1941,3280
1942,1675
1943,2352
1944,2069
1945,8062
1946,3307
1947,4130
1948,1935
1949,2791
1950,2104
1951,3066
1952,3052
1953,2215
1954,1397
1955,1926
1956,1140
1957,4960
1958,1903
1959,1310
1960,2099
1961,2160
1962,1576
1963,1004
1964,1169
1965,2937
1966,2336
1967,2117
1968,1984
1969,1086
1970,1568
1971,711
1972,1886
1973,2831
1974,2704
1975,1679
1976,831
1977,1443
1978,2708
1979,3200
1980,3378
1981,2908
1982,4317
1983,4978
1984,2266
1985,2418
1986,1478
1987,1824
1988,1717
1989,1081
1990,1127
1991,3697
1992,2351
1993,1774
1994,2204
1995,1618
1996,1291
1997,2475
1998,1321
1999,1241
2000,1657
2001,939
2002,1120
2003,1756
2004,3338
2005,2053
2006,2419
2007,1631
2008,1960
2009,3745
2010,1766
2011,3117
2012,1522
2013,2288
2014,1106
2015,1046
2016,446
2017,508
