YEAR,AGO
1934,476
1935,829
1936,424
1937,366
1938,465
1939,450
1940,393
1941,573
1942,573
1943,825
1944,641
1945,1049
1946,903
1947,856
1948,663
1949,1062
1950,714
1951,751
1952,787
1953,521
1954,337
1955,325
1956,541
1957,928
1958,628
1959,423
1960,593
1961,671
1962,524
1963,724
1964,588
1965,1062
1966,1155
1967,950
1968,1024
1969,793
1970,913
1971,364
1972,720
1973,802
1974,887
1975,658
1976,958
1977,647
1978,1027
1979,1371
1980,1368
1981,1163
1982,1474
1983,1483
1984,1044
1985,1106
1986,1111
1987,936
1988,962
1989,803
1990,780
1991,914
1992,1170
1993,901
1994,963
1995,879
1996,897
1997,1157
1998,895
1999,816
2000,1035
2001,461
2002,768
2003,800
2004,1117
2005,1080
2006,1072
2007,983
2008,893
2009,1202
2010,771
2011,1111
2012,1015
2013,851
2014,413
2015,522
2016,427
2017,328
