YEAR,DEZ
1934,1364
1935,2023
1936,2220
1937,5348
1938,3270
1939,1288
1940,2895
1941,2366
1942,4685
1943,6248
1944,3256
1945,6395
1946,2460
1947,4175
1948,7056
1949,2935
1950,3463
1951,1655
1952,3200
1953,3375
1954,2277
1955,3938
1956,4217
1957,4028
1958,1579
1959,1700
1960,4299
1961,1406
1962,5913
1963,953
1964,2929
1965,2734
1966,2694
1967,3656
1968,2792
1969,3644
1970,1676
1971,4326
1972,3136
1973,3179
1974,1823
1975,1400
1976,3159
1977,2327
1978,3501
1979,2550
1980,3731
1981,5586
1982,1437
1983,6644
1984,3022
1985,2731
1986,1833
1987,3859
1988,2556
1989,6627
1990,1182
1991,2437
1992,5664
1993,2434
1994,2616
1995,2724
1996,2198
1997,2903
1998,2627
1999,2486
2000,2956
2001,1569
2002,1971
2003,1624
2004,2402
2005,5599
2006,6115
2007,1946
2008,2665
2009,2420
2010,2150
2011,4285
2012,1835
2013,3647
2014,1646
2015,1050
2016,1457
2017,1527
