YEAR,FLOW
1934,1130
1935,5213
1936,1415
1937,4842
1938,2436
1939,5762
1940,3717
1941,2041
1942,2629
1943,5219
1944,4095
1945,6629
1946,2905
1947,3894
1948,3061
1949,11660
1950,3262
1951,3364
1952,4527
1953,1504
1954,2853
1955,1916
1956,1646
1957,4593
1958,3289
1959,1725
1960,4122
1961,4819
1962,3912
1963,3412
1964,3644
1965,4270
1966,6012
1967,3777
1968,3252
1969,2116
1970,3860
1971,1261
1972,1601
1973,2465
1974,1707
1975,2637
1976,1267
1977,3608
1978,3305
1979,14489
1980,8961
1981,2398
1982,5527
1983,9829
1984,1712
1985,5731
1986,4055
1987,1673
1988,2634
1989,1947
1990,1788
1991,2767
1992,12209
1993,3375
1994,1892
1995,2243
1996,1358
1997,2142
1998,2788
1999,1207
2000,3281
2001,1143
2002,3230
2003,2415
2004,4584
2005,4165
2006,1631
2007,8605
2008,2610
2009,4103
2010,1436
2011,1384
2012,2940
2013,2233
2014,1168
2015,1280
2016,1423
2017,952
2018,1701
