year,fev
1934,-4083
1935,3798
1936,-3427
1937,2406
1938,-3326
1939,2045
1940,1676
1941,-588
1942,-2590
1943,1124
1944,-2534
1945,3724
1946,-989
1947,833
1948,-8599
1949,8398
1950,-102
1951,-1163
1952,3023
1953,-1349
1954,937
1955,270
1956,-2947
1957,1304
1958,1564
1959,-2397
1960,-697
1961,907
1962,500
1963,-232
1964,-626
1965,-1742
1966,2235
1967,525
1968,1136
1969,-1744
1970,2599
1971,-340
1972,-864
1973,758
1974,-930
1975,1370
1976,-2341
1977,303
1978,-11184
1979,5528
1980,6563
1981,-3129
1982,-4302
1983,8117
1984,-4019
1985,1676
1986,2382
1987,-961
1988,687
1989,159
1990,-979
1991,-9442
1992,8834
1993,1483
1994,-351
1995,885
1996,-784
1997,-646
1998,1581
1999,-2074
2000,2138
2001,-2087
2002,815
2003,-2169
2004,419
2005,2534
2006,-6974
2007,5995
2008,-1493
2009,2667
2010,52
2011,-1556
2012,707
2013,1065
2014,-112
2015,-143
2016,471
2017,-749
