YEAR,FLOW
1934,1105
1935,2386
1936,-2321
1937,-574
1938,-1008
1939,2776
1940,-1576
1941,-605
1942,-5770
1943,7567
1944,-2309
1945,-3268
1946,4929
1947,-721
1948,-2292
1949,3874
1950,-117
1951,-26
1952,1461
1953,-622
1954,-300
1955,-1520
1956,-2929
1957,4322
1958,-523
1959,-862
1960,-1557
1961,1946
1962,-3313
1963,3203
1964,-45
1965,-1355
1966,1697
1967,-1048
1968,2375
1969,-2487
1970,3063
1971,-321
1972,-1566
1973,66
1974,-301
1975,2382
1976,-2047
1977,-1365
1978,-1796
1979,-1295
1980,2698
1981,-3029
1982,1677
1983,2348
1984,-1726
1985,-1044
1986,4505
1987,-514
1988,753
1989,-1874
1990,866
1991,-3211
1992,2104
1993,-2094
1994,4229
1995,-871
1996,-2155
1997,2453
1998,464
1999,-884
2000,1143
2001,-1470
2002,-1162
2003,1739
2004,-816
2005,821
2006,-4438
2007,5030
2008,-2551
2009,1889
2010,-1214
2011,-3253
2012,5191
2013,135
2014,1281
2015,-2265
2016,2058
2017,24
