YEAR,JUL
1934,497
1935,943
1936,482
1937,496
1938,522
1939,538
1940,506
1941,776
1942,646
1943,995
1944,790
1945,1285
1946,1085
1947,1058
1948,872
1949,1279
1950,854
1951,891
1952,981
1953,622
1954,432
1955,404
1956,668
1957,1154
1958,814
1959,496
1960,748
1961,837
1962,1049
1963,775
1964,622
1965,1208
1966,1245
1967,1010
1968,1087
1969,905
1970,860
1971,371
1972,788
1973,823
1974,1038
1975,782
1976,958
1977,763
1978,1216
1979,1516
1980,1579
1981,1242
1982,1574
1983,1795
1984,1094
1985,1180
1986,1109
1987,973
1988,978
1989,881
1990,910
1991,968
1992,1291
1993,1020
1994,1079
1995,997
1996,905
1997,1260
1998,928
1999,886
2000,1099
2001,506
2002,802
2003,822
2004,1119
2005,1138
2006,1105
2007,1062
2008,900
2009,1148
2010,833
2011,1083
2012,1090
2013,936
2014,472
2015,589
2016,390
2017,341
