year,jun
1934,-479
1935,470
1936,-118
1937,9
1938,19
1939,-23
1940,-199
1941,-85
1942,-270
1943,225
1944,-707
1945,364
1946,70
1947,256
1948,-569
1949,563
1950,-42
1951,-121
1952,403
1953,185
1954,41
1955,-518
1956,-396
1957,545
1958,310
1959,-317
1960,-175
1961,-30
1962,353
1963,146
1964,-671
1965,-3
1966,198
1967,-72
1968,375
1969,-139
1970,524
1971,-419
1972,-83
1973,-244
1974,365
1975,-201
1976,75
1977,-604
1978,-484
1979,383
1980,159
1981,-351
1982,-197
1983,832
1984,-109
1985,143
1986,98
1987,43
1988,129
1989,42
1990,-265
1991,-321
1992,338
1993,-120
1994,177
1995,59
1996,-385
1997,241
1998,202
1999,-238
2000,567
2001,-225
2002,-178
2003,-190
2004,-58
2005,73
2006,-16
2007,205
2008,-273
2009,276
2010,-328
2011,18
2012,177
2013,521
2014,-117
2015,330
2016,-6
