YEAR,MAI
1934,930
1935,1670
1936,857
1937,998
1938,852
1939,869
1940,932
1941,1154
1942,1075
1943,1637
1944,1235
1945,2765
1946,1861
1947,1703
1948,1140
1949,2020
1950,1302
1951,1284
1952,1615
1953,1060
1954,833
1955,674
1956,1174
1957,2220
1958,1158
1959,738
1960,1254
1961,1649
1962,1389
1963,834
1964,801
1965,1640
1966,1569
1967,1331
1968,1296
1969,1006
1970,1059
1971,510
1972,941
1973,1143
1974,1517
1975,1037
1976,939
1977,952
1978,1621
1979,2068
1980,1919
1981,1568
1982,2065
1983,3159
1984,1330
1985,1542
1986,1318
1987,1228
1988,1075
1989,908
1990,978
1991,1603
1992,1901
1993,1338
1994,1431
1995,1240
1996,1073
1997,1620
1998,1222
1999,1006
2000,1263
2001,747
2002,861
2003,1131
2004,1590
2005,1462
2006,1391
2007,1317
2008,1193
2009,1551
2010,1288
2011,1366
2012,1318
2013,1181
2014,698
2015,893
2016,447
2017,453
