YEAR,MAR
1934,1141
1935,2589
1936,2688
1937,1709
1938,2024
1939,1522
1940,4112
1941,2865
1942,3656
1943,4196
1944,3085
1945,4407
1946,3533
1947,5541
1948,3306
1949,4740
1950,2528
1951,3340
1952,7717
1953,2561
1954,1248
1955,1427
1956,3494
1957,6083
1958,2148
1959,3183
1960,4564
1961,3694
1962,2589
1963,1500
1964,1430
1965,5509
1966,3434
1967,2383
1968,4413
1969,1923
1970,2349
1971,1221
1972,2322
1973,3183
1974,3197
1975,1193
1976,1294
1977,1044
1978,3703
1979,6010
1980,3113
1981,2524
1982,6038
1983,5830
1984,1786
1985,4513
1986,2256
1987,2094
1988,2421
1989,1766
1990,1706
1991,3663
1992,3974
1993,2444
1994,4642
1995,1732
1996,1596
1997,3326
1998,2006
1999,3221
2000,3338
2001,1328
2002,1842
2003,2160
2004,4362
2005,4999
2006,3588
2007,2773
2008,3000
2009,2367
2010,2118
2011,4831
2012,1969
2013,1636
2014,1125
2015,1394
2016,955
2017,728
