YEAR,NOV
1934,701
1935,727
1936,1225
1937,2336
1938,1044
1939,662
1940,2648
1941,898
1942,2325
1943,2653
1944,1285
1945,3043
1946,1766
1947,1899
1948,1641
1949,1727
1950,2402
1951,545
1952,1595
1953,1167
1954,1205
1955,1600
1956,1522
1957,1773
1958,961
1959,1798
1960,1225
1961,714
1962,1358
1963,852
1964,2869
1965,3011
1966,1799
1967,1803
1968,1630
1969,2170
1970,2307
1971,2882
1972,2532
1973,3832
1974,1188
1975,1786
1976,2198
1977,1524
1978,1611
1979,2778
1980,2017
1981,4862
1982,1395
1983,3702
1984,1404
1985,1658
1986,1167
1987,1339
1988,1412
1989,1679
1990,985
1991,2049
1992,4025
1993,1195
1994,1632
1995,1758
1996,2198
1997,1313
1998,1917
1999,1451
2000,2046
2001,1448
2002,1472
2003,958
2004,1035
2005,1965
2006,2355
2007,1200
2008,1445
2009,2188
2010,1701
2011,1535
2012,2019
2013,975
2014,801
2015,948
2016,973
2017,663
