year,out
1934,-170
1935,182
1936,-206
1937,136
1938,-130
1939,233
1940,-333
1941,78
1942,-244
1943,332
1944,-592
1945,316
1946,-101
1947,221
1948,-447
1949,321
1950,274
1951,-17
1952,-271
1953,600
1954,-366
1955,264
1956,-446
1957,-145
1958,350
1959,163
1960,-49
1961,-258
1962,122
1963,-655
1964,-268
1965,75
1966,640
1967,-413
1968,468
1969,-866
1970,1012
1971,-524
1972,-564
1973,654
1974,9
1975,193
1976,-307
1977,-195
1978,-208
1979,227
1980,-169
1981,43
1982,-437
1983,668
1984,-76
1985,273
1986,100
1987,-92
1988,139
1989,137
1990,-305
1991,-427
1992,361
1993,314
1994,8
1995,-116
1996,-286
1997,224
1998,232
1999,-198
2000,277
2001,-236
2002,189
2003,-261
2004,21
2005,-363
2006,485
2007,-209
2008,-517
2009,717
2010,-392
2011,167
2012,186
2013,654
2014,-380
2015,55
2016,256
